title,item_category,price,date,store
Сосиски Великолукский МК Молочные 330г,sosiski,104.99,10.11.2024,Магнит
Сосиски Великолукский МК Любительские 330г,sosiski,109.99,10.11.2024,Магнит
Сардельки Магнит Телячьи 500г,sosiski,119.99,10.11.2024,Магнит
Сосиски Папа может Сочные 410г,sosiski,119.99,10.11.2024,Магнит
Сардельки Папа может Сочные 300г,sosiski,119.99,10.11.2024,Магнит
Сосиски Великолукский МК Детям 330г,sosiski,119.99,10.11.2024,Магнит
Сосиски Папа может Мясные с говядиной 400г,sosiski,124.99,10.11.2024,Магнит
Сосиски Великолукский МК Детям с кроликом 330г,sosiski,124.99,10.11.2024,Магнит
Сосиски Черкизово Премиум Молочные Экстра 400г,sosiski,129.99,10.11.2024,Магнит
Шпикачки Папа может Сочные с беконом 300г,sosiski,139.99,10.11.2024,Магнит
Сосиски Ближние горки Молочные классические 450г,sosiski,269.0,10.11.2024,Магнит
Сардельки Дубки Классические 600г,sosiski,149.99,10.11.2024,Магнит
Сосиски Великолукский МК Венские вареные 470г,sosiski,149.99,10.11.2024,Магнит
Сосиски Останкино Для детей 330г,sosiski,159.99,10.11.2024,Магнит
Сосиски Папа может Супер Сытные 600г,sosiski,169.99,10.11.2024,Магнит
Сардельки Великолукский МК Свиные вареные 500г,sosiski,184.99,10.11.2024,Магнит
Сосиски Стародворье Стародворские по-баварски 770г,sosiski,189.99,10.11.2024,Магнит
Сосиски Останкино Сливочные 410г,sosiski,199.99,10.11.2024,Магнит
Сосиски Великолукский МК Сливочные 650г,sosiski,204.99,10.11.2024,Магнит
Шпикачки Иней МК 400г,sosiski,209.99,10.11.2024,Магнит
Сосиски Клинский Венские 470г,sosiski,219.99,10.11.2024,Магнит
Сосиски Атяшево Молочные 600г,sosiski,219.99,10.11.2024,Магнит
Сосиски Клинский Клинские 460г,sosiski,229.99,10.11.2024,Магнит
Сосиски Индилайт Молочные из индейки 275г,sosiski,239.99,10.11.2024,Магнит
Сосиски Вязанка Сливушка сливочные 450г,sosiski,269.99,10.11.2024,Магнит
Сосиски Ядрена копоть Классические 420г,sosiski,279.99,10.11.2024,Магнит
Сардельки Вязанка Филейские варёные весовые,sosiski,323.91,10.11.2024,Магнит
Сосиски Вязанка Молокуши Молочные 450г,sosiski,339.99,10.11.2024,Магнит
Сосиски Вязанка Рубленые 500г,sosiski,369.99,10.11.2024,Магнит
Сыр Кабош Parmesan 40% 100г,syr,109.99,10.11.2024,Магнит
Продукт По-Российски Классический на основе растительного жира 50% весовой,syr,119.97,10.11.2024,Магнит
Сыр Сернурский СЗ Сернурский с добавкой козьего молока 50% 150г,syr,119.99,10.11.2024,Магнит
Сыр Варвара-Краса Сметанковый 50% 160г,syr,124.99,10.11.2024,Магнит
Сыр Viola Российский 50% 180г,syr,129.99,10.11.2024,Магнит
Сыр Danke Гауда Голд 45% 180г,syr,139.99,10.11.2024,Магнит
Сыр Поставы Городок Пармезан гранд 45% 200г,syr,144.99,10.11.2024,Магнит
Сыр Киприно Сливочный 50% 180г,syr,144.99,10.11.2024,Магнит
Сыр Брест-Литовск Королевский полутвёрдый 45% 200г,syr,149.99,10.11.2024,Магнит
Сыр Белебеевский 45% 190г,syr,154.99,10.11.2024,Магнит
Сыр ЭкоНива Классический полутвердый 50% 180г,syr,159.99,10.11.2024,Магнит
Сыр Беловежские сыры Трюфель с семенами пажитника и ароматом грецкого ореха 45% 200г,syr,164.99,10.11.2024,Магнит
Сыр ЭкоНива Momente aus Schollbrunn полутвердый 50% 200г,syr,169.99,10.11.2024,Магнит
Сыр Брест-Литовск Тильзитер 45% 200г,syr,169.99,10.11.2024,Магнит
Сыр Белебеевский Купеческий 52% 190г,syr,169.99,10.11.2024,Магнит
Сыр Моя цена Российский 45% весовой,syr,171.59,10.11.2024,Магнит
Сыр Брест-Литовск Легкий 35% 200г,syr,179.99,10.11.2024,Магнит
Сыр Киприно Реджано 40% 150г,syr,179.99,10.11.2024,Магнит
Сыр Белые вершины Маасдам 45% 190г,syr,184.99,10.11.2024,Магнит
Сыр Брест-Литовск Российский 50% 200г,syr,189.99,10.11.2024,Магнит
Сыр Магнит Мраморный 45-50% весовой,syr,203.97,10.11.2024,Магнит
Сыр Landkaas Тильзитер 45% весовой,syr,209.97,10.11.2024,Магнит
Сыр Landkaas Гауда 45% весовой,syr,209.97,10.11.2024,Магнит
Сыр Брест-Литовск Сливочный 50% 200г,syr,209.99,10.11.2024,Магнит
Сыр Cheese Box Белые вершины Чеддер 50% 200г,syr,209.99,10.11.2024,Магнит
Сыр Моя цена Голландский 45% весовой,syr,217.76,10.11.2024,Магнит
Сыр Landkaas Маасдам 45% весовой,syr,224.97,10.11.2024,Магнит
Сыр Ламбер 50% весовой,syr,249.97,10.11.2024,Магнит
Сыр ЭкоНива Щучанский полутвердый 50% 300г,syr,249.99,10.11.2024,Магнит
Сыр Mario Parmigiani Пармезан выдержанный 6 мес 48%,syr,259.98,10.11.2024,Магнит
Сыр Belster Пармезан 40% 195г,syr,259.99,10.11.2024,Магнит
Сыр Белебеевский Купеческий 52% 400г,syr,299.99,10.11.2024,Магнит
Сыр Natura Сливочный 45% 300г,syr,309.99,10.11.2024,Магнит
Стейк Мираторг Black Angus Тендер мраморная говядина 260г,myaso,299.99,10.11.2024,Магнит
Гуляш говяжий АМТ 400г,myaso,469.99,10.11.2024,Магнит
Стейк Мясники Минутка из мраморной говядины,myaso,615.96,10.11.2024,Магнит
Мякоть бедра говяжья Мираторг 600г,myaso,769.99,10.11.2024,Магнит
Хлеб Селяночка Столичный подовый нарезка 320г,hleb,35.99,10.11.2024,Пятёрочка
Хлеб Селяночка Бородинский нарезка половина 350г,hleb,37.39,10.11.2024,Пятёрочка
Хлеб Черемушки Столичный нарезка 330г,hleb,50.59,10.11.2024,Пятёрочка
Хлеб Зерница ржано-пшеничный бездрожжевой нарезка 300г,hleb,54.99,10.11.2024,Пятёрочка
Хлеб Черемушки Бородинский нарезка 390г,hleb,59.49,10.11.2024,Пятёрочка
Хлеб Рижский хлеб Крестьянский бездрожжевой заварной подовый 300г,hleb,67.99,10.11.2024,Пятёрочка
Хлеб Коломенский Даниловский ржано-пшеничный нарезка 350г,hleb,73.99,10.11.2024,Пятёрочка
Хлеб Рижский хлеб Ароматный подовый 300г,hleb,79.99,10.11.2024,Пятёрочка
Хлеб Ржаной Край заварной нарезка 300г,hleb,82.99,10.11.2024,Пятёрочка
Хлебец Хлебный дом Стройный рецепт без хлебопекарных дрожжей нарезка 350г,hleb,83.99,10.11.2024,Пятёрочка
Хлеб Рижский Хлеб Бородинский 300г,hleb,97.99,10.11.2024,Пятёрочка
Молоко Красная Цена 1.5% БЗМЖ 970мл,moloko,55.99,10.11.2024,Пятёрочка
Молоко Красная Цена ультрапастеризованное 2.5% БЗМЖ 0.97л,moloko,66.99,10.11.2024,Пятёрочка
Молоко Красная Цена ультрапастеризованное 3.2% БЗМЖ 970мл,moloko,69.99,10.11.2024,Пятёрочка
Молоко Станция Молочная пастеризованное 2.5% БЗМЖ 900мл,moloko,74.99,10.11.2024,Пятёрочка
Молоко козье Село Зеленое цельное ультрапастеризованное 2.8-5.6% БЗМЖ 200г,moloko,77.49,10.11.2024,Пятёрочка
Молоко Домик в деревне пастеризованное 2.5% БЗМЖ 930мл,moloko,78.99,10.11.2024,Пятёрочка
Молоко Станция Молочная 3.3-6.0% БЗМЖ 930мл,moloko,79.99,10.11.2024,Пятёрочка
Молоко Лебедяньмолоко 3.2% БЗМЖ 900г,moloko,83.99,10.11.2024,Пятёрочка
Молоко С Нашей Фермы ультрапастеризованное 3.2% БЗМЖ 925мл,moloko,84.99,10.11.2024,Пятёрочка
Молоко Му-у ультрапастеризованное 2.5% БЗМЖ 925мл,moloko,84.99,10.11.2024,Пятёрочка
Молоко Сарафаново пастеризованное 2.5% БЗМЖ 930мл,moloko,89.99,10.11.2024,Пятёрочка
Молоко Нашей Дойки Отборное пастеризованное 3.4-6% БЗМЖ 900мл,moloko,89.99,10.11.2024,Пятёрочка
Молоко Му-у ультрапастеризованное 3.2% БЗМЖ 925мл,moloko,92.99,10.11.2024,Пятёрочка
Молоко Вкуснотеево пастеризованное 3.2% БЗМЖ 900г,moloko,92.99,10.11.2024,Пятёрочка
Молоко Экомилк цельное отборное пастеризованное 3.4-4.5% БЗМЖ 900мл,moloko,92.99,10.11.2024,Пятёрочка
Молоко Асеньевская ферма пастеризованное 3.4-6% БЗМЖ 900мл,moloko,93.99,10.11.2024,Пятёрочка
Молоко Сарафаново цельное отборное детское пастеризованное 3.4-4% БЗМЖ 930мл,moloko,99.99,10.11.2024,Пятёрочка
Молоко Сарафаново детское ультрапастеризованное 2.5% БЗМЖ 970мл,moloko,102.99,10.11.2024,Пятёрочка
Молоко ЭкоНива пастеризованное цельное 3.3–6% БЗМЖ 1л,moloko,104.99,10.11.2024,Пятёрочка
Молоко ЭкоНива ультрапастеризованное 3.2% БЗМЖ 1л,moloko,104.99,10.11.2024,Пятёрочка
Молоко Сарафаново детское ультрапастеризованное 3.2% БЗМЖ 970мл,moloko,106.99,10.11.2024,Пятёрочка
Молоко Сарафаново безлактозное ультрапастеризованное 1.5% БЗМЖ 970мл,moloko,109.99,10.11.2024,Пятёрочка
Напиток Nemoloko Миндальный на рисовой основе для питания детей старше 3-х лет 1л,moloko,109.99,10.11.2024,Пятёрочка
Молоко М ультрапастеризованное 3.2% БЗМЖ 950г,moloko,109.99,10.11.2024,Пятёрочка
Молоко Село Зеленое ультрапастеризованное 3.2% БЗМЖ 950мл,moloko,114.99,10.11.2024,Пятёрочка
Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5% БЗМЖ 1л,moloko,129.99,10.11.2024,Пятёрочка
Молоко Простоквашино безлактозное ультрапастеризованное 1.5% БЗМЖ 0.97л,moloko,137.99,10.11.2024,Пятёрочка
Молоко Лебедяньмолоко 3.2% БЗМЖ 1400г,moloko,139.99,10.11.2024,Пятёрочка
Молоко Домик в деревне отборное пастеризованное 3.7% БЗМЖ 1.4л,moloko,139.99,10.11.2024,Пятёрочка
Молоко Село Зеленое пастеризованное 3.2% БЗМЖ 1.947л,moloko,189.99,10.11.2024,Пятёрочка
Маргарин Хозяюшка Нижегородский сливочный 60% СЗМЖ 200г,maslo,52.99,10.11.2024,Пятёрочка
Спред растительно-сливочный Кремлевское 72.5% СЗМЖ 180г,maslo,59.99,10.11.2024,Пятёрочка
Масло сладкосливочное Красная цена Крестьянское 72.5% БЗМЖ 180 г,maslo,169.99,10.11.2024,Пятёрочка
Масло сладкосливочное Сыроваровъ и Масловъ Традиционное 82.5% БЗМЖ 180г,maslo,179.99,10.11.2024,Пятёрочка
Масло топленое ГХИ Вкус & Польза 99% БЗМЖ 140г,maslo,269.99,10.11.2024,Пятёрочка
Масло сливочное Станция Молочная Шоколадное 62% БЗМЖ 180г,maslo,209.99,10.11.2024,Пятёрочка
Масло сладкосливочное Ульянка несоленое 82.5% БЗМЖ 160г,maslo,219.99,10.11.2024,Пятёрочка
Масло Delicato кокосовое 200г,maslo,219.99,10.11.2024,Пятёрочка
Масло сладкосливочное Брест-Литовск Классическое 72.5% БЗМЖ 180г,maslo,222.99,10.11.2024,Пятёрочка
Масло сливочное Станция Молочная Традиционное 82.5% БЗМЖ 175г,maslo,239.99,10.11.2024,Пятёрочка
Масло сладкосливочное Брест-Литовск 82.5% БЗМЖ 180г,maslo,249.99,10.11.2024,Пятёрочка
Масло Экомилк Крестьянское сливочное 72.5% БЗМЖ 160г,maslo,259.99,10.11.2024,Пятёрочка
Масло сладкосливочное Село Зеленое Традиционное 82.5% БЗМЖ 175г,maslo,269.99,10.11.2024,Пятёрочка
Масло сладкосливочное Экомилк Традиционное 82.5% БЗМЖ 180г,maslo,279.99,10.11.2024,Пятёрочка
Масло сладкосливочное Тысяча Озер Свежесть финского утра 82.5% БЗМЖ 180г,maslo,289.99,10.11.2024,Пятёрочка
Масло сливочное Из Вологды Традиционное 82.5% БЗМЖ,maslo,309.99,10.11.2024,Пятёрочка
Масло Экомилк Традиционное сладко-сливочное несоленое 82.5% БЗМЖ 330г,maslo,489.99,10.11.2024,Пятёрочка
Гречка ядрица 900г,krupa,34.49,10.11.2024,Пятёрочка
Крупа Увелка гречневая 500г,krupa,64.99,10.11.2024,Пятёрочка
Гречка Селяночка ядрица быстроразваривающаяся 5х80г,krupa,69.99,10.11.2024,Пятёрочка
Гречка Агро-Альянс Экстра элитная 900г,krupa,84.99,10.11.2024,Пятёрочка
Гречка Мистраль 900г,krupa,89.99,10.11.2024,Пятёрочка
Гречка ядрица Селяночка быстроразваривающаяся пропаренная 900г,krupa,94.99,10.11.2024,Пятёрочка
Гречка Мистраль ядрица 5х80г,krupa,119.99,10.11.2024,Пятёрочка
Гречка Мистраль Фермерская 900г,krupa,169.99,10.11.2024,Пятёрочка
Спагетти Красная цена 400г,makarony,13.19,10.11.2024,Пятёрочка
Вермишель Красная Цена 400г,makarony,13.99,10.11.2024,Пятёрочка
Макароны Красная цена Рожки 400г,makarony,17.99,10.11.2024,Пятёрочка
"Макароны Ладные рожки, 400г",makarony,44.99,10.11.2024,Пятёрочка
Макароны Ладные спираль 400г,makarony,44.99,10.11.2024,Пятёрочка
Вермишель Ладные 400г,makarony,44.99,10.11.2024,Пятёрочка
Макароны Ладные перья группа А 400г,makarony,44.99,10.11.2024,Пятёрочка
Вермишель Ладные длинная 400г,makarony,44.99,10.11.2024,Пятёрочка
Макароны Зерница Улитки 450г,makarony,54.99,10.11.2024,Пятёрочка
Макароны Зерница Вермишель 450г,makarony,54.99,10.11.2024,Пятёрочка
Макароны Зерница Ракушки 450г,makarony,54.99,10.11.2024,Пятёрочка
Макароны Зерница Витой рожок 450г,makarony,54.99,10.11.2024,Пятёрочка
"Спагетти Зерница высший сорт, 500г",makarony,54.99,10.11.2024,Пятёрочка
Вермишель Шебекинские №111 легкая 450г,makarony,59.99,10.11.2024,Пятёрочка
Макароны Шебекинские Ракушка маленькая №193 450г,makarony,59.99,10.11.2024,Пятёрочка
Макароны Baisad Звездочки для супчика 250г,makarony,59.99,10.11.2024,Пятёрочка
Макароны Baisad Спираль высший сорт 450г,makarony,59.99,10.11.2024,Пятёрочка
Макароны Baisad перья 450г,makarony,61.99,10.11.2024,Пятёрочка
Макароны Baisad спагетти 450г,makarony,61.99,10.11.2024,Пятёрочка
Макароны Baisad Гребешки 450г,makarony,61.99,10.11.2024,Пятёрочка
Макароны Baisad пружинка группа А 450г,makarony,61.99,10.11.2024,Пятёрочка
Макароны Baisad рожки 450г,makarony,61.99,10.11.2024,Пятёрочка
Лапша Караван-Сарай бесбармачная 250г,makarony,62.99,10.11.2024,Пятёрочка
Макароны Makfa улитки 450г,makarony,63.99,10.11.2024,Пятёрочка
Макароны Makfa ракушки 450г,makarony,63.99,10.11.2024,Пятёрочка
Макароны Makfa спирали экспресс 400г,makarony,63.99,10.11.2024,Пятёрочка
Макароны Makfa витки 450г,makarony,63.99,10.11.2024,Пятёрочка
Лапша Караван Сарай лагманная 250г,makarony,64.99,10.11.2024,Пятёрочка
Макароны Шебекинские Головоломки 450г,makarony,64.99,10.11.2024,Пятёрочка
Лапша Ameria №120 Яичная 400г,makarony,64.99,10.11.2024,Пятёрочка
Макароны Makfa Спагетти 450г,makarony,65.99,10.11.2024,Пятёрочка
Спагетти Шебекинские №2 тонкие 450г,makarony,66.99,10.11.2024,Пятёрочка
Макароны Шебекинские рожок полубублик №202 450г,makarony,66.99,10.11.2024,Пятёрочка
"Макароны Шебекинские спирали №366, 450г",makarony,66.99,10.11.2024,Пятёрочка
Макароны Шебекинские улитки №295 группа А 450г,makarony,66.99,10.11.2024,Пятёрочка
Макароны Шебекинские перья №343 450г,makarony,66.99,10.11.2024,Пятёрочка
Макароны Grand Di Pasta Campanelle 450г,makarony,69.99,10.11.2024,Пятёрочка
Макароны Federici №42 спиральки 400г,makarony,69.99,10.11.2024,Пятёрочка
Макароны Grand Di Pasta Farfalle 400г,makarony,69.99,10.11.2024,Пятёрочка
"Спагетти Trattoria di Maestro Turatti, 450г",makarony,79.99,10.11.2024,Пятёрочка
Макароны Barilla Джирандоле n.34 450г,makarony,84.99,10.11.2024,Пятёрочка
Макароны Barilla Капеллини n.1 450г,makarony,84.99,10.11.2024,Пятёрочка
Макароны Barilla Спагетти n.5 450г,makarony,84.99,10.11.2024,Пятёрочка
Макароны Barilla Пипе Ригате n.91 450г,makarony,84.99,10.11.2024,Пятёрочка
Макароны Barilla Пенне Ригате n.73 450г,makarony,84.99,10.11.2024,Пятёрочка
Макароны Barilla Баветте n.13 450г,makarony,84.99,10.11.2024,Пятёрочка
Лапша Продукты от Масловой по-домашнему яичная 200г,makarony,87.99,10.11.2024,Пятёрочка
Вермишель Federici №96 400г,makarony,89.99,10.11.2024,Пятёрочка
Спагетти Federici №3 400г,makarony,89.99,10.11.2024,Пятёрочка
Макароны Trattoria di Maestro Turatti Farfalle Бантики 450г,makarony,89.99,10.11.2024,Пятёрочка
Лапша Домшим Рамен пшеничная 250г,makarony,99.99,10.11.2024,Пятёрочка
Лапша Домшим Соба гречневая 250г,makarony,99.99,10.11.2024,Пятёрочка
Спагетти Federici №3 из риса и кукурузы без глютена 250г,makarony,99.99,10.11.2024,Пятёрочка
Лапша Домшим Удон пшеничная 250г,makarony,99.99,10.11.2024,Пятёрочка
Макароны Liguori Farfalle №30 450г,makarony,112.99,10.11.2024,Пятёрочка
Спагетти Liguori №3 450г,makarony,112.99,10.11.2024,Пятёрочка
Макароны Barilla Risoni n.26 450г,makarony,132.99,10.11.2024,Пятёрочка
Вермишель Домшим фунчоза 200г,makarony,134.99,10.11.2024,Пятёрочка
Лапша Чим Чим Рамен яичная 250г,makarony,149.99,10.11.2024,Пятёрочка
Лапша Чим Чим Удон пшеничная 250г,makarony,149.99,10.11.2024,Пятёрочка
Макароны Trattoria di Maestro Turatti Гнёзда 450г,makarony,152.99,10.11.2024,Пятёрочка
Лапша Sen Soy Premium Rice Vermicelli рисовая 300г,makarony,159.99,10.11.2024,Пятёрочка
Спагетти Federici №3 без глютена из красной чечевицы 250г,makarony,189.99,10.11.2024,Пятёрочка
Лапша Sen Soy Premium Soba гречневая 300г,makarony,199.99,10.11.2024,Пятёрочка
Макароны Barilla Лазанья 500г,makarony,336.99,10.11.2024,Пятёрочка
Яйцо куриное столовое С1 10шт.,aitsa,68.99,10.11.2024,Пятёрочка
Яйцо куриное С2 10шт.,aitsa,69.99,10.11.2024,Пятёрочка
Яйцо куриное отборное 10шт.,aitsa,77.99,10.11.2024,Пятёрочка
Яйцо куриное Волжанин С1 10шт.,aitsa,109.99,10.11.2024,Пятёрочка
Яйцо куриное Окское столовое С1 10шт.,aitsa,112.99,10.11.2024,Пятёрочка
Яйцо куриное Село Зеленое Деревенское С1 10шт.,aitsa,114.99,10.11.2024,Пятёрочка
Яйца Вкус & Польза Активита куриные пищевые столовые С1 10шт.,aitsa,119.99,10.11.2024,Пятёрочка
Яйцо куриное Лето пищевое С1 10шт.,aitsa,119.99,10.11.2024,Пятёрочка
Яйца Волжанин куриные CO 10шт,aitsa,129.99,10.11.2024,Пятёрочка
Яйцо куриное Волжанин С1 белое 10шт,aitsa,129.99,10.11.2024,Пятёрочка
Яйцо куриное Окское столовое СО 10шт.,aitsa,129.99,10.11.2024,Пятёрочка
Яйцо куриное Село Зеленое Деревенское С0 10шт.,aitsa,139.99,10.11.2024,Пятёрочка
Яйцо куриное Роскар Экстра СО 10шт.,aitsa,139.99,10.11.2024,Пятёрочка
Белок яичный Вкус & Польза пастеризованный жидкий охлажденный 330мл,aitsa,139.99,10.11.2024,Пятёрочка
Яйцо перепелиное Селяночка 20шт.,aitsa,159.99,10.11.2024,Пятёрочка
Яйцо куриное С1 30шт.,aitsa,219.99,10.11.2024,Пятёрочка
Яйцо куриное Лето С1 20шт.,aitsa,234.99,10.11.2024,Пятёрочка
Яйцо куриное Окское С1 белое 30 шт.,aitsa,339.99,10.11.2024,Пятёрочка
Сосиски Красная Цена Аппетитные вареные 300г,sosiski,38.99,10.11.2024,Пятёрочка
Сосиски Delikaiser Сливочные вареные 320г,sosiski,99.99,10.11.2024,Пятёрочка
Сосиски Папа может Филейные из мяса птицы вареные 330г,sosiski,129.99,10.11.2024,Пятёрочка
Шпикачки Мясницкий Ряд Для Завтрака из мяса птицы вареные 360г,sosiski,139.99,10.11.2024,Пятёрочка
Сосиски Ядрена копоть с сыром из мяса цыплят вареные 300г,sosiski,139.99,10.11.2024,Пятёрочка
Сосиски Мираторг Оригинальные охлажденные 350г,sosiski,159.99,10.11.2024,Пятёрочка
Сосиски Мясницкий Ряд вареные сливочные охлажденные 420г,sosiski,169.99,10.11.2024,Пятёрочка
Сосиски Вязанка молочные 450г,sosiski,179.99,10.11.2024,Пятёрочка
Сосиски Мясная Ферма Сочные вареные 750г,sosiski,189.99,10.11.2024,Пятёрочка
Сосиски Мясная Ферма Баварские вареные 370г,sosiski,209.99,10.11.2024,Пятёрочка
Сосиски Ближние горки молочные 450г,sosiski,219.99,10.11.2024,Пятёрочка
Сосиски Ближние Горки Баварские вареные 450г,sosiski,239.99,10.11.2024,Пятёрочка
Сосиски Ближние горки вареные с сыром 450г,sosiski,239.99,10.11.2024,Пятёрочка
